#g_name	taxID
gene37945	1206794
gene37946	1206794
gene37947	7737
gene37948	1206794
gene37949	1206794
gene37952	1457286
gene37953	6231
gene37954	1206794
gene37956	1206794
gene37957	241478
gene37958	6231
gene37959	1206794
gene37960	6656
gene37962	1457286
gene37964	6072
gene37965	119089
gene37966	6231
gene37967	1206794
gene37968	6231
gene37969	1206794
gene37970	1206794
gene37971	1206794
gene37942	1457286
gene37941	1564500
gene37940	1564500
gene37939	1564500
gene37915	1457286
gene37916	1457286
gene37917	1457286
gene37918	1457286
gene37919	6231
gene37920	1457286
gene37921	1457286
gene37922	1457286
gene37923	7737
gene37924	1457286
gene37925	1457286
gene38084	1457286
gene37926	1206794
gene37928	1206794
gene37929	1457286
gene37930	147541
gene37931	33317
gene37932	1457286
gene37933	1206794
gene37934	6329
gene37935	1206794
gene37936	6236
gene37937	33317
gene37938	1564500
gene37927	1206794
gene38085	241478
gene38086	6231
gene38087	637853
gene38232	1206794
gene38233	33317
gene38234	1457286
gene38235	1457286
gene38236	1457286
gene38237	1457286
gene38238	1206794
gene38239	48709
gene38240	6274
gene38241	33317
gene38242	1206794
gene38243	1206794
gene38244	1457286
gene38245	1206794
gene38246	6526
gene38247	6231
gene38248	1457286
gene38249	6231
gene38250	1206794
gene38251	1206794
gene38252	33317
gene38253	1206794
gene38254	6231
gene38231	1457286
gene38255	6231
gene38230	1206794
gene38228	1457286
gene38202	1457286
gene38203	1457286
gene38204	1457286
gene38205	306902
gene38206	119089
gene38207	1457286
gene38208	1457286
gene38209	6231
gene38210	211225
gene38211	1457286
gene38212	1457286
gene38213	1457286
gene38214	1457286
gene38215	6231
gene38216	1457286
gene38217	1457286
gene38220	6231
gene38221	1457286
gene38222	6329
gene38223	1457286
gene38224	1457286
gene38225	241478
gene38227	1206794
gene38229	1457286
gene38256	92179
gene38257	6231
gene38258	6231
gene38288	1234261
gene38289	6231
gene38290	6231
gene38291	1206794
gene38292	33317
gene38294	6231
gene38296	1206794
gene38297	1457286
gene38298	1206794
gene38299	1457286
gene38300	1457286
gene38302	1206794
gene38303	33362
gene38304	1457286
gene38305	1206794
gene38306	6231
gene38307	1457286
gene38308	1206794
gene38309	6231
gene38310	1206794
gene38311	1206794
gene38312	1457286
gene38313	1206794
gene38287	464929
gene38286	33340
gene38285	1206794
gene38284	1206794
gene38259	1206794
gene38260	1457286
gene38261	1206794
gene38262	1457286
gene38263	418781
gene38264	6231
gene38265	1206795
gene38266	117571
gene38267	1457286
gene38268	44578
gene38269	1457286
gene38201	6231
gene38270	33511
gene38272	6231
gene38273	1457286
gene38274	1457286
gene38275	36086
gene38277	1206794
gene38278	1206794
gene38279	1206794
gene38280	1206794
gene38281	1206794
gene38282	6231
gene38283	33317
gene38271	1206794
gene37856	6231
gene38200	1457286
gene38198	1206794
gene38117	1206794
gene38118	33373
gene38119	1206794
gene38120	1206794
gene38121	119089
gene38122	1206794
gene38123	1206794
gene38124	6231
gene38125	6236
gene38126	74971
gene38127	1564500
gene38129	33317
gene38130	6236
gene38131	119089
gene38132	1457286
gene38133	1206794
gene38134	6236
gene38135	6231
gene38136	1457286
gene38137	6231
gene38138	6656
gene38139	6231
gene38140	119089
gene38116	1206794
gene38141	33317
gene38115	231623
gene38113	33317
gene38088	6656
gene38089	6231
gene38090	6072
gene38091	1457286
gene38092	119089
gene38093	6231
gene38094	44578
gene38095	1457286
gene38097	33317
gene38098	33317
gene38099	241478
gene38100	1457286
gene38101	1234261
gene38102	6231
gene38103	1206794
gene38104	1206794
gene38105	1457286
gene38106	1457286
gene38107	1206794
gene38108	33317
gene38110	1206794
gene38111	7898
gene38112	33317
gene38114	1206794
gene38142	186625
gene38143	1206794
gene38144	33317
gene38175	1457286
gene38176	1457286
gene38177	1457286
gene38178	1457286
gene38179	1457286
gene38180	1206794
gene38181	1457286
gene38182	1206794
gene38183	36086
gene38184	1457286
gene38185	231623
